197, MBRREC11, 6/2017, 1031.0, 0.0, 0, 0, 1
198, MBRREC11, 5/2017, 836.0, 0.0, 0, 0, 1
199, MBRREC11, 4/2017, 1087.111111111111, 411.65728734254446, 0, 0, 9
200, MBRREC11, 3/2017, 1099.8, 412.35040923952045, 0, 0, 5
201, MBRREC11, 2/2017, 867.0, 36.0, 0, 0, 2
202, MBRREC11, 1/2017, 196.6, 12.819516371532897, 0, 2, 7
203, MBRREC12, 7/2018, 163.0, 1.5, 0, 0, 2
204, MBRREC12, 6/2018, 200.5, 290.25, 0, 0, 2
205, MBRREC12, 5/2018, 3.0, 0.0, 0, 0, 1
206, MBRREC12, 4/2018, 157.5, 117.75, 0, 0, 2
207, MBRREC12, 3/2018, 4.0, 0.0, 0, 1, 3
208, MBRREF01, 1/2019, 159.625, 12.934782323255387, 0, 0, 16
209, MBRREF01, 12/2018, 159.32258064516128, 11.24685179675581, 0, 0, 31
210, MBRREF01, 11/2018, 171.83333333333334, 27.79950539128349, 0, 0, 12
211, MBRREF01, 10/2018, 174.78571428571428, 47.09132735700808, 0, 0, 28
212, MBRREF01, 9/2018, 200.8709677419355, 93.1315993478388, 0, 0, 31
213, MBRREF01, 8/2018, 215.85714285714286, 122.3460715531553, 0, 0, 28
214, MBRREF01, 7/2018, 242.375, 134.87324778750605, 0, 0, 32
215, MBRREF01, 6/2018, 231.30769230769232, 93.60544476653496, 0, 0, 26
216, MBRREF01, 5/2018, 255.57142857142858, 124.37370653619288, 0, 0, 28
217, MBRREF01, 4/2018, 293.22222222222223, 129.03638591067596, 0, 0, 27
218, MBRREF01, 3/2018, 732.6923076923077, 543.2513924913466, 0, 0, 26
219, MBRREF01, 2/2018, 545.5185185185185, 452.2588437260183, 1, 0, 28
220, MBRREF01, 1/2018, 629.3703703703703, 444.5691075165083, 0, 0, 27
221, MBRREF01, 12/2017, 599.1034482758621, 395.0750060485738, 0, 0, 29
222, MBRREF01, 11/2017, 627.7083333333334, 418.08614823233495, 0, 0, 24
223, MBRREF01, 10/2017, 639.2142857142857, 1024.6884126954128, 0, 0, 28
224, MBRREF01, 9/2017, 771.7727272727273, 1210.341061872115, 0, 0, 22
225, MBRREF01, 8/2017, 424.48148148148147, 207.2499981384682, 0, 0, 27
226, MBRREF01, 7/2017, 517.375, 862.8737573328731, 0, 0, 32
227, MBRREF01, 6/2017, 380.2068965517241, 222.02179971380502, 0, 0, 29
228, MBRREF01, 5/2017, 483.26666666666665, 434.1341267396517, 0, 0, 30
229, MBRREF01, 4/2017, 356.85185185185185, 240.3031778482145, 0, 0, 27
230, MBRREF01, 3/2017, 295.6, 193.36995630138614, 0, 1, 11
231, MBRREF01, 2/2017, 260.0, 0.0, 0, 0, 1
232, MBRREF01, 1/2017, 223.8, 27.023323259732507, 0, 0, 5
233, MBRREF02, 1/2019, 735.25, 32.98081828881752, 0, 0, 16
234, MBRREF02, 12/2018, 738.5483870967741, 78.4646569694934, 0, 0, 31
235, MBRREF02, 11/2018, 747.0, 53.41699167867843, 0, 0, 12
236, MBRREF02, 10/2018, 735.3571428571429, 107.60733251133067, 0, 0, 28
237, MBRREF02, 9/2018, 804.0322580645161, 263.2614717299106, 0, 0, 31
238, MBRREF02, 8/2018, 824.1785714285714, 258.6044788220744, 0, 0, 28
239, MBRREF02, 7/2018, 970.5625, 549.7297835854789, 0, 0, 32
240, MBRREF02, 6/2018, 953.3461538461538, 190.2822539509112, 0, 0, 26
241, MBRREF02, 5/2018, 994.3928571428571, 217.01448493342184, 0, 0, 28
242, MBRREF02, 4/2018, 1165.851851851852, 337.3570570636063, 0, 0, 27
243, MBRREF02, 3/2018, 3548.769230769231, 3030.8472532421038, 0, 0, 26
244, MBRREF02, 2/2018, 2312.703703703704, 2240.502689681299, 0, 0, 27
245, MBRREF02, 1/2018, 2941.777777777778, 2220.598017551929, 0, 0, 27
246, MBRREF02, 12/2017, 2977.8275862068967, 2281.6268606832277, 0, 0, 29
247, MBRREF02, 11/2017, 3277.1666666666665, 3245.371492602966, 0, 0, 24
248, MBRREF02, 10/2017, 2868.75, 2912.9828864713572, 0, 0, 28
249, MBRREF02, 9/2017, 3099.9545454545455, 3377.547174475256, 0, 0, 22
250, MBRREF02, 8/2017, 2476.074074074074, 1421.6775845180182, 0, 0, 27
251, MBRREF02, 7/2017, 2315.78125, 1699.582028623945, 0, 0, 32
252, MBRREF02, 6/2017, 2124.793103448276, 1537.7050601340788, 0, 0, 29
253, MBRREF02, 5/2017, 2470.3333333333335, 1377.9182305202294, 0, 0, 30
254, MBRREF02, 4/2017, 2151.782608695652, 1976.912857972026, 0, 0, 23
255, MBRREF02, 3/2017, 1530.3636363636363, 1391.0213457375557, 0, 1, 12
256, MBRREF02, 1/2017, 891.6666666666666, 104.44376477320225, 0, 0, 3
257, MBRREF03, 1/2019, 711.0625, 37.486755473600276, 0, 0, 16
258, MBRREF03, 12/2018, 693.09375, 59.56997387198835, 0, 0, 32
259, MBRREF03, 11/2018, 693.4166666666666, 70.33880063663298, 0, 0, 12
260, MBRREF03, 10/2018, 710.1428571428571, 68.44424589341583, 0, 0, 28
261, MBRREF03, 9/2018, 778.258064516129, 358.33910569768466, 0, 0, 31
262, MBRREF03, 8/2018, 775.2857142857143, 346.9532881868588, 0, 0, 28
263, MBRREF03, 7/2018, 1035.0645161290322, 1253.9273556372398, 0, 0, 31
264, MBRREF03, 6/2018, 886.2592592592592, 401.3268810235602, 0, 0, 27
265, MBRREF03, 5/2018, 1617.3214285714287, 5462.332700089481, 0, 0, 28
266, MBRREF03, 4/2018, 1151.8148148148148, 394.7338844160365, 0, 0, 27
267, MBRREF03, 3/2018, 2178.346153846154, 1482.4801430812413, 0, 0, 26
268, MBRREF03, 2/2018, 1590.4814814814815, 1126.4820142350527, 0, 0, 27
269, MBRREF03, 1/2018, 1895.3333333333333, 1121.3501534608477, 0, 0, 27
270, MBRREF03, 12/2017, 1907.448275862069, 1272.5311951725494, 0, 0, 29
271, MBRREF03, 11/2017, 1987.96, 1270.2956137844449, 0, 0, 25
272, MBRREF03, 10/2017, 1863.0357142857142, 1658.4621875361659, 0, 0, 28
273, MBRREF03, 9/2017, 2088.2272727272725, 1691.0155460440951, 0, 0, 22
274, MBRREF03, 8/2017, 1387.4074074074074, 592.3591617787387, 0, 0, 27
275, MBRREF03, 7/2017, 1670.28125, 850.4870397801394, 0, 0, 32
276, MBRREF03, 6/2017, 1523.5862068965516, 782.1302657968088, 0, 0, 29
