_id,jobcode,date,mean,std
497,MBRREF06,Feb-18,1462,0
498,MBRREF06,Apr-18,1075.111111,143.4598279
499,MBRREF06,Mar-18,4536.076923,5491.699972
500,MBRREF06,Feb-18,2290.304348,2845.161033
501,MBRREF06,Dec-17,1407,0
502,MBRREF06,Feb-18,2391,2809.770542
503,MBRREF06,Jan-18,2628.481481,2637.391431
504,MBRREF06,Dec-17,3087.882353,3133.960039
505,MBRREF06,Nov-17,1445,0
506,MBRREF06,Dec-17,3232.909091,2666.176818
507,MBRREF06,Nov-17,3009.7,4012.055249
508,MBRREF06,Oct-17,1256,0
509,MBRREF06,Nov-17,3289.5,2128.730564
510,MBRREF06,Oct-17,888,61.5
511,MBRREF06,Jul-17,1337,0
512,MBRREF06,Oct-17,2805.6,3183.658546
513,MBRREF06,Sep-17,3111.428571,3832.681602
514,MBRREF06,Aug-17,4114.703704,3128.413757
515,MBRREF06,Jul-17,3368.588235,2888.693545
516,MBRREF06,Jun-17,1280,0
517,MBRREF06,Jul-17,2756.785714,2580.328458
518,MBRREF06,Jun-17,3178.26087,3043.303593
519,MBRREF06,Apr-17,1414,0
520,MBRREF06,Jun-17,1505.8,1614.999337
521,MBRREF06,May-17,3192.1,2432.001625
522,MBRREF06,Apr-17,2657.277778,2685.814765
523,MBRREF06,Jan-16,4983,0
524,MBRREF06,Apr-17,1405,661.3758387
525,MBRREF06,Jan-16,1206,0
526,MBRREF06,Jan-17,8013,0
527,MBRREF06,Jan-16,4653,0
528,MBRREF07,Nov-18,2.375,2.994134892
529,MBRREF07,Oct-18,1.85,2.736215452
530,MBRREF07,Sep-18,2.5625,3.786153845
531,MBRREF07,Aug-18,3,0
532,MBRREF07,Sep-18,1.6,1.8
533,MBRREF07,Aug-18,2,1.224744871
534,MBRREF07,Jul-18,2,0
535,MBRREF07,Aug-18,2.2,3.472751071
536,MBRREF07,Jul-18,2.2,2.152905014
537,MBRREF07,Jun-18,2,0
538,MBRREF07,Jul-18,2.833333333,2.358495283
539,MBRREF07,Jun-18,3,3.240370349
540,MBRREF07,Apr-18,2,0
541,MBRREF07,Jun-18,3.333333333,4.242640687
542,MBRREF07,May-18,6.590909091,7.894088436
543,MBRREF07,Apr-18,4.692307692,5.746107507
544,MBRREF07,Jan-18,2,0
545,MBRREF07,Mar-18,2,0
546,MBRREF07,Feb-18,1,0
547,MBRREF07,Jan-18,NaN,NaN
548,MBRREF07,Jan-17,5174,0
549,MBRREF07,Jan-16,4016,0
550,MBRREF08,Nov-18,10.45454545,9.030938558
551,MBRREF08,Oct-18,11.78571429,8.001355115
552,MBRREF08,Sep-18,20.0952381,15.47051178
553,MBRREF08,Aug-18,NaN,NaN
554,MBRREF08,Sep-18,13.33333333,7.64852927
555,MBRREF08,Aug-18,13.5,6.108395861
556,MBRREF08,Jul-18,NaN,NaN
557,MBRREF08,Aug-18,15.66666667,11.06474453
558,MBRREF08,Jul-18,14.5,8.470201779
559,MBRREF08,Jun-18,1,0
560,MBRREF08,Jul-18,12.25,8.929410675
561,MBRREF08,Jun-18,14,3.674234614
562,MBRREF08,Apr-18,35,0
563,MBRREF08,Jun-18,7.227272727,4.168023195
564,MBRREF08,May-18,12.17857143,10.36949694
565,MBRREF08,Apr-18,22.07142857,40.93600344
566,MBRREF08,Jan-18,NaN,NaN
567,MBRREF08,Mar-18,9.5,22.0836478
568,MBRREF08,Mar-17,707,0
569,MBRREF08,Jan-16,752,0
570,MBRSTG01,Nov-18,31.83333333,3.288236609
571,MBRSTG01,Oct-18,30.56756757,5.27214104
572,MBRSTG01,Sep-18,32.87096774,12.19642823
573,MBRSTG01,Aug-18,34.0952381,17.23931198
574,MBRSTG01,May-18,81,0
575,MBRSTG01,Aug-18,31.25,4.463392768
576,MBRSTG01,Jul-18,35.74193548,14.42260193
577,MBRSTG01,Jun-18,53.3,15.70899424
578,MBRSTG01,May-18,58.21621622,18.48381915
579,MBRSTG01,Apr-17,68,0
580,MBRSTG01,May-18,79.28571429,76.29052954
581,MBRSTG01,Apr-18,61.03333333,13.79392982
582,MBRSTG01,Mar-18,62.29032258,20.23680053
583,MBRSTG01,Feb-18,60.14285714,22.06622685
584,MBRSTG01,Jan-18,64.74193548,18.39473526
585,MBRSTG01,Dec-17,57.61290323,19.09445823
586,MBRSTG01,Nov-17,51.7,19.30343234
587,MBRSTG01,Oct-17,46.35483871,13.74006121
588,MBRSTG01,Sep-17,51.96666667,12.05290421
