327, MBRREF02, 7/2017, 2178.823529411765, 1290.8191211243377
328, MBRREF02, 6/2017, 1326.0, 0.0
329, MBRREF02, 7/2017, 2555.714285714286, 2054.9535001442496
330, MBRREF02, 6/2017, 2198.782608695652, 1522.6262823953912
331, MBRREF02, 4/2017, 1389.0, 0.0
332, MBRREF02, 6/2017, 1921.2, 1646.6413270654905
333, MBRREF02, 5/2017, 2476.6666666666665, 1361.2866707640972
334, MBRREF02, 4/2017, 2186.4545454545455, 2010.613172785485
335, MBRREF02, 3/2017, 1420.2222222222222, 1241.5344896090842
336, MBRREF02, 1/2017, 975.0, 0.0
337, MBRREF02, 3/2017, 2222.5, 1416.75
338, MBRREF02, 1/2017, 824.0, 34.5
339, MBRREF02, 1/2016, 914.0, 114.0
340, MBRREF03, 11/2018, 689.5454545454545, 70.65899953209097
341, MBRREF03, 10/2018, 712.1071428571429, 68.27453164188215
342, MBRREF03, 9/2018, 747.5714285714286, 166.00703820830574
343, MBRREF03, 8/2018, 1977.0, 0.0
344, MBRREF03, 9/2018, 701.8888888888889, 52.165335446273346
345, MBRREF03, 8/2018, 717.8333333333334, 72.24653970952518
346, MBRREF03, 7/2018, 1887.0, 0.0
347, MBRREF03, 8/2018, 737.2380952380952, 144.35291928507178
348, MBRREF03, 7/2018, 868.3181818181819, 483.1736813006818
349, MBRREF03, 6/2018, 5326.0, 0.0
350, MBRREF03, 7/2018, 885.375, 134.47593592814292
351, MBRREF03, 6/2018, 1077.0, 620.2753017813945
352, MBRREF03, 4/2018, 666.0, 0.0
353, MBRREF03, 6/2018, 815.6875, 47.70530262389602
354, MBRREF03, 5/2018, 1606.5714285714287, 5464.982010258494
355, MBRREF03, 4/2018, 1100.5294117647059, 200.39402794491195
356, MBRREF03, 2/2018, 2184.0, 0.0
357, MBRREF03, 4/2018, 1154.5555555555557, 326.5196097565283
358, MBRREF03, 3/2018, 2183.1923076923076, 1473.1482194284883
359, MBRREF03, 2/2018, 1580.695652173913, 1136.5506541346886
360, MBRREF03, 12/2017, 1958.0, 0.0
361, MBRREF03, 2/2018, 1525.3333333333333, 1208.8333218438347
362, MBRREF03, 1/2018, 1901.111111111111, 1108.8734774034813
363, MBRREF03, 12/2017, 1665.3529411764705, 1078.8409149282315
364, MBRREF03, 11/2017, 1632.0, 0.0
365, MBRREF03, 12/2017, 2292.909090909091, 1408.4082099840277
366, MBRREF03, 11/2017, 1812.85, 1182.3330059145774
367, MBRREF03, 10/2017, 3276.0, 0.0
368, MBRREF03, 11/2017, 2572.5, 942.6067910321885
369, MBRREF03, 10/2017, 824.0, 70.5
370, MBRREF03, 7/2017, 1853.0, 0.0
371, MBRREF03, 10/2017, 1870.8, 1712.6257734835124
372, MBRREF03, 9/2017, 2174.5454545454545, 1643.265246844709
373, MBRREF03, 8/2017, 1378.3333333333333, 608.9590845587794
374, MBRREF03, 7/2017, 1594.9411764705883, 409.6405610695265
375, MBRREF03, 6/2017, 1756.0, 0.0
376, MBRREF03, 7/2017, 1772.5714285714287, 1162.1245542504628
377, MBRREF03, 6/2017, 1521.8695652173913, 761.5721544954461
378, MBRREF03, 4/2017, 1830.0, 0.0
379, MBRREF03, 6/2017, 1464.8, 920.728982926029
380, MBRREF03, 5/2017, 1396.3, 575.3344005880407
381, MBRREF03, 4/2017, 1443.375, 857.6162617066855
382, MBRREF03, 3/2017, 28427.625, 163794.7683452599
383, MBRREF03, 1/2017, 2436.0, 0.0
384, MBRREF03, 3/2017, 2876.0, 732.0
385, MBRREF03, 1/2017, 3267.1428571428573, 2521.0185988029134
386, MBRREF03, 1/2016, 2828.0, 0.0
387, MBRREF04, 11/2018, 149.0, 10.835547559264871
388, MBRREF04, 10/2018, 147.53571428571428, 18.086764737604938
389, MBRREF04, 9/2018, 155.95238095238096, 24.12679093489904
390, MBRREF04, 8/2018, 471.0, 0.0
391, MBRREF04, 9/2018, 180.55555555555554, 56.987328026110816
392, MBRREF04, 8/2018, 202.0, 86.85764215082055
393, MBRREF04, 7/2018, 353.0, 0.0
394, MBRREF04, 8/2018, 242.85714285714286, 74.7270543582525
395, MBRREF04, 7/2018, 231.3181818181818, 117.14011397319405
396, MBRREF04, 6/2018, 879.0, 0.0
397, MBRREF04, 7/2018, 240.625, 72.3854428994532
398, MBRREF04, 6/2018, 326.6666666666667, 220.48582720891608
399, MBRREF04, 4/2018, 365.0, 0.0
400, MBRREF04, 6/2018, 238.34782608695653, 45.65310558055539
401, MBRREF04, 5/2018, 234.92592592592592, 82.22117116445327
402, MBRREF04, 4/2018, 263.94117647058823, 100.62893913285313
403, MBRREF04, 2/2018, 339.0, 0.0
404, MBRREF04, 4/2018, 259.1111111111111, 55.30119548637463
405, MBRREF04, 3/2018, 311.9230769230769, 170.29354225144408
406, MBRREF04, 2/2018, 335.82608695652175, 463.3100396242619
407, MBRREF04, 12/2017, 270.0, 0.0
408, MBRREF04, 2/2018, 234.25, 46.49243890139557
409, MBRREF04, 1/2018, 260.46153846153845, 88.77262191896138
410, MBRREF04, 12/2017, 311.05882352941177, 321.0232827956344
411, MBRREF04, 11/2017, 311.0, 0.0
412, MBRREF04, 12/2017, 257.0, 91.53017386235388
413, MBRREF04, 11/2017, 233.45, 76.10408579701881
414, MBRREF04, 10/2017, 286.0, 0.0
415, MBRREF04, 11/2017, 238.75, 23.74967105035352
416, MBRREF04, 10/2017, 203.5, 32.25
417, MBRREF04, 7/2017, 270.0, 0.0
418, MBRREF04, 10/2017, 248.6, 113.14097401030274
419, MBRREF04, 9/2017, 290.95238095238096, 141.79069800525113
420, MBRREF04, 8/2017, 273.3703703703704, 105.03741249998194
421, MBRREF04, 7/2017, 285.1764705882353, 137.45727867307576
422, MBRREF04, 6/2017, 312.0, 0.0
423, MBRREF04, 7/2017, 267.64285714285717, 139.97454670221225
424, MBRREF04, 6/2017, 235.2173913043478, 86.08433790483713
425, MBRREF04, 4/2017, 276.0, 0.0
426, MBRREF04, 6/2017, 211.4, 16.338298565028126
427, MBRREF04, 5/2017, 250.2, 114.90326366122069
428, MBRREF04, 4/2017, 246.71428571428572, 176.58980486900558
429, MBRREF04, 3/2017, 306.55555555555554, 162.23611051660342
430, MBRREF04, 1/2017, 185.0, 0.0
431, MBRREF04, 3/2017, 354.0, 136.5
432, MBRREF04, 1/2017, 263.5, 73.22781233930179
433, MBRREF04, 1/2016, 229.0, 0.0
434, MBRREF05, 11/2018, 335.3636363636364, 28.847919844225213
435, MBRREF05, 10/2018, 349.0, 55.528949978495774
436, MBRREF05, 9/2018, 404.14285714285717, 87.37761119861031
437, MBRREF05, 8/2018, 2060.0, 0.0
438, MBRREF05, 9/2018, 359.77777777777777, 75.45123517139325
439, MBRREF05, 8/2018, 510.45454545454544, 504.4261038198519
440, MBRREF05, 7/2018, 1716.0, 0.0
441, MBRREF05, 8/2018, 428.4117647058824, 200.64744684115826
442, MBRREF05, 7/2018, 548.3181818181819, 563.1113743639144
443, MBRREF05, 6/2018, 2070.0, 0.0
444, MBRREF05, 7/2018, 501.875, 164.29697530310776
445, MBRREF05, 6/2018, 581.6666666666666, 270.6113449210879
446, MBRREF05, 4/2018, 2511.0, 0.0
447, MBRREF05, 6/2018, 473.0869565217391, 270.2780861563377
448, MBRREF05, 5/2018, 477.9259259259259, 125.13254700911213
449, MBRREF05, 4/2018, 510.47058823529414, 139.81616699664318
450, MBRREF05, 2/2018, 1029.0, 0.0
451, MBRREF05, 4/2018, 536.3333333333334, 98.5570900544451
452, MBRREF05, 3/2018, 1154.076923076923, 1569.1365540155925
453, MBRREF05, 2/2018, 1109.8260869565217, 1704.6814688404224
454, MBRREF05, 12/2017, 717.0, 0.0
455, MBRREF05, 2/2018, 455.0, 52.809800226851834
456, MBRREF05, 1/2018, 694.3076923076923, 645.9205107542397
457, MBRREF05, 12/2017, 711.7058823529412, 1011.8062021244184
458, MBRREF05, 11/2017, 811.0, 0.0
459, MBRREF05, 12/2017, 979.2727272727273, 1032.6859686842633
460, MBRREF05, 11/2017, 683.75, 895.3704523128961
461, MBRREF05, 10/2017, 212.0, 0.0
462, MBRREF05, 11/2017, 466.0, 204.58647315988415
463, MBRREF05, 10/2017, 820.0, 672.0
464, MBRREF05, 7/2017, 1220.0, 0.0
465, MBRREF05, 10/2017, 1104.6, 1631.369326670083
466, MBRREF05, 9/2017, 1579.0, 1439.4270437523792
467, MBRREF05, 8/2017, 1270.2222222222222, 777.8965583903527
468, MBRREF05, 7/2017, 1071.1176470588234, 700.3526830268
469, MBRREF05, 6/2017, 549.0, 0.0
470, MBRREF05, 7/2017, 1089.642857142857, 898.0623082162928
471, MBRREF05, 6/2017, 1197.0869565217392, 472.2677302904826
472, MBRREF05, 4/2017, 454.0, 0.0
473, MBRREF05, 6/2017, 996.4, 818.5562534120669
474, MBRREF05, 5/2017, 767.9, 521.9004718334713
475, MBRREF05, 4/2017, 824.4166666666666, 948.1745207898175
476, MBRREF05, 3/2017, 686.2, 855.2191298141079
477, MBRREF05, 1/2017, 781.0, 0.0
478, MBRREF05, 3/2017, 284.0, 0.0
479, MBRREF05, 1/2017, 1372.5, 2883.717425043584
480, MBRREF05, 1/2016, 4506.0, 0.0
481, MBRREF06, 11/2018, 804.8181818181819, 44.56066530654567
482, MBRREF06, 10/2018, 822.8571428571429, 120.3962526537318
483, MBRREF06, 9/2018, 822.5238095238095, 72.78091250107954
484, MBRREF06, 8/2018, 1419.0, 0.0
485, MBRREF06, 9/2018, 808.1111111111111, 63.919654428213406
486, MBRREF06, 8/2018, 840.6666666666666, 68.60029154456998
